patient	cell	Tumor	celltype1	celltype2	Run	plate	sample
BC01	BC01_02	Tumor	Tumor	Tumor	SRR2973279	BC01	BC01
BC01	BC01_03	Tumor	Tumor	Tumor	SRR2973280	BC01	BC01
BC01	BC01_04	Tumor	Tumor	Tumor	SRR2973281	BC01	BC01
BC01	BC01_05	Tumor	Tumor	Tumor	SRR2973282	BC01	BC01
BC01	BC01_06	Tumor	Tumor	Tumor	SRR2973283	BC01	BC01
BC01	BC01_08	Tumor	Tumor	Tumor	SRR2973284	BC01	BC01
BC01	BC01_10	Tumor	Tumor	Tumor	SRR2973285	BC01	BC01
BC01	BC01_12	Tumor	Tumor	Tumor	SRR2973286	BC01	BC01
BC01	BC01_33	Tumor	Tumor	Tumor	SRR2973287	BC01	BC01
BC01	BC01_34	Tumor	Tumor	Tumor	SRR2973288	BC01	BC01
BC01	BC01_53	Tumor	Tumor	Tumor	SRR2973289	BC01	BC01
BC01	BC01_55	Tumor	Tumor	Tumor	SRR2973290	BC01	BC01
BC01	BC01_57	Tumor	Tumor	Tumor	SRR2973291	BC01	BC01
BC01	BC01_66	Tumor	Tumor	Tumor	SRR2973292	BC01	BC01
BC01	BC01_69	Tumor	Tumor	Tumor	SRR2973293	BC01	BC01
BC01	BC01_70	Tumor	Tumor	Tumor	SRR2973294	BC01	BC01
BC01	BC01_72	Tumor	Tumor	Tumor	SRR2973295	BC01	BC01
BC01	BC01_74	nonTumor	Stromal	Stromal	SRR2973296	BC01	BC01
BC01	BC01_77	Tumor	Tumor	Tumor	SRR2973297	BC01	BC01
BC01	BC01_87	Tumor	Tumor	Tumor	SRR2973298	BC01	BC01
BC01	BC01_95	Tumor	Tumor	Tumor	SRR2973299	BC01	BC01
BC04	BC04_01	Tumor	Tumor	Tumor	SRR2973300	BC04	BC04
BC04	BC04_02	Tumor	Tumor	Tumor	SRR2973301	BC04	BC04
BC04	BC04_07	Tumor	Tumor	Tumor	SRR2973303	BC04	BC04
BC04	BC04_08	nonTumor	Stromal	Stromal	SRR2973304	BC04	BC04
BC04	BC04_09	Tumor	Tumor	Tumor	SRR2973305	BC04	BC04
BC04	BC04_11	Tumor	Tumor	Tumor	SRR2973306	BC04	BC04
BC04	BC04_13	Tumor	Tumor	Tumor	SRR2973307	BC04	BC04
BC04	BC04_20	Tumor	Tumor	Tumor	SRR2973309	BC04	BC04
BC04	BC04_21	nonTumor	Immune	Myeloid	SRR2973310	BC04	BC04
